the_geom,the_geom_webmercator,facname,addressnum,streetname,address,city,zipcode,boro,borocode,bin,bbl,cd,nta,council,schooldist,policeprct,censtract,factype,facsubgrp,facgroup,facdomain,servarea,opname,opabbrev,optype,overagency,overabbrev,overlevel,capacity,captype,latitude,longitude,xcoord,ycoord,datasource,uid
0101000020E610000017B3DC30837D52C09EE25B79F6504440,0101000020110F0000684431E558685FC1F034903814EA5241,FLATBUSH MALLS,,,,BROOKLYN,11230,BROOKLYN,3,0,0,314,BK42,45,22,70,052800,MALL,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6325300332,-73.9611336844,995037.790347,169726.517509,dpr_parksproperties,30f8f7cc87a54469bb7d20761c4fda4b
0101000020E61000005B275FD4077D52C02BA80E1923694440,0101000020110F000095348D5A87675FC106A122D82B055341,MONTEFIORE PLAZA,,,,NEW YORK,10031,MANHATTAN,1,0,0,109,MN06,7,06,30,022301,PEDESTRIAN PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Transportation,NYCDOT,Public,NYC Department of Transportation,NYCDOT,City,0,,40.8213918818,-73.9536043178,997091.207795,238535.789623,dot_pedplazas,af0418cdf9cce445a58bc8e99dccb7f5
0101000020E61000003D3563ECD78952C0B32208D889514440,0101000020110F00009B1852EC4A7D5FC118129126B9EA5241,VAN NAME/VAN PELT PLAZA,,,,STATEN ISLAND,10303,STATEN ISLAND,5,0,5011090059,501,SI12,49,31,121,022300,PEDESTRIAN PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Transportation,NYCDOT,Public,NYC Department of Transportation,NYCDOT,City,0,,40.6370273973,-74.1538054087,941562.447514,171400.11103,dot_pedplazas,af14720776be210fff8f3587070e8e49
0101000020E6100000CB5936FF3C7952C063D89DD9C75C4440,0101000020110F00006B88F84B16615FC13AA9155150F75241,PETER CHAHALES PARK,,,,MASPETH,11378,QUEENS,4,0,4027910029,405,QN30,30,24,104,049500,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7248572027,-73.8943493703,1013533.9643,203379.231468,dpr_parksproperties,30ec5f3fb6a4987caf43efc63a07dffa
0101000020E6100000CB44BE71BC7F52C0075B31BAA7594440,0101000020110F00009E8D5CD41F6C5FC16EE708CFCFF35241,FRUIT STREET SITTING AREA,68,COLUMBIA HEIGHTS,68 COLUMBIA HEIGHTS,BROOKLYN,11201,BROOKLYN,3,3395700,3002080025,302,BK09,33,13,84,000100,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7004393858,-73.9958781724,985392.896225,194465.447163,dpr_parksproperties,31a4aeb2a6c43e9eed137e31a65f5f6a
0101000020E610000012F80065307652C0C9ABA237DB554440,0101000020110F0000A168755DE85B5FC15D6EEB968EEF5241,PARK,,,,OZONE PARK,11417,QUEENS,4,0,0,410,QN56,32,27,106,005800,STRIP,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6707607363,-73.8467051637,1026774.33962,183689.833856,dpr_parksproperties,31bb6971c2ab459468eeecba05c5500f
0101000020E61000008B4A6B02D67F52C0D8D039CC605C4440,0101000020110F0000C2EE26414B6C5FC1EDBEFCD4DCF65241,PETROSINO SQUARE,,,,NEW YORK,10012,MANHATTAN,1,0,0,102,MN24,1,02,5,004500,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7217122915,-73.9974385461,984960.010749,202215.794042,dpr_parksproperties,31ecc6221520b411beb06e5db2891e13
0101000020E61000000D4A8DDF817D52C039B679195F574440,0101000020110F000017B53CA856685FC15AD86EF640F15241,PARK,22,PUTNAM AVENUE,22 PUTNAM AVENUE,BROOKLYN,11238,BROOKLYN,3,3057238,3019910016,302,BK69,35,13,88,022700,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.6825979586,-73.9610532666,995052.000989,187967.666049,dpr_parksproperties,3279a5f926136aa51632bcb5739bb7cd
0101000020E610000014494DAED87F52C0841289928D5D4440,0101000020110F0000B9BACBCA4F6C5FC11C7472E82DF85241,MERCER PLAYGROUND,,WASHINGTON SQUARE,WASHINGTON SQUARE,NEW YORK,10011,MANHATTAN,1,0,1005490001,102,MN23,1,02,6,006500,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7308912076,-73.9976015972,984914.722968,205559.956484,dpr_parksproperties,32bed63a46304fdb37768b83bb361b66
0101000020E610000009C40109137B52C0AA9CFAA354634440,0101000020110F00006C4D3CB434645FC12D428A2AA8FE5241,SITTING AREA,,,,ASTORIA,11102,QUEENS,4,0,4008890033,401,QN72,22,30,114,009500,TRIANGLE/PLAZA,"STREETSCAPES, PLAZAS, AND MALLS",PARKS AND PLAZAS,"PARKS, GARDENS, AND HISTORICAL SITES",Local,NYC Department of Parks and Recreation,NYCDPR,Public,NYC Department of Parks and Recreation,NYCDPR,City,0,,40.7760287964,-73.9230382412,1005565.68086,222014.397546,dpr_parksproperties,331bb7a1db62937b4fd7abf00bcf8b39
